account_id,amount,payment_date,downpayment_amount,prev_account_id,global_amount,is_downpayment,prev_is_downpayment,downpayment,installments
043cf9a6,3900,1/16/2020,9900,043cf9a6,21600,more than downpayment,more than downpayment,0,3900
0459ac36,9900,9/25/2019,9900,,9900,equal to downpayment,,9900,0
0459ac36,3900,10/31/2019,9900,0459ac36,13800,more than downpayment,equal to downpayment,0,3900
0459ac36,3900,12/5/2019,9900,0459ac36,17700,more than downpayment,more than downpayment,0,3900
0459ac36,3200,1/6/2020,9900,0459ac36,20900,more than downpayment,more than downpayment,0,3200
0459ac36,700,1/23/2020,9900,0459ac36,21600,more than downpayment,more than downpayment,0,700
0459ac36,3900,2/6/2020,9900,0459ac36,25500,more than downpayment,more than downpayment,0,3900
046c3140,7900,11/18/2019,7900,,7900,equal to downpayment,,7900,0
046c3140,5000,1/2/2020,7900,046c3140,12900,more than downpayment,equal to downpayment,0,5000
046c3140,1200,1/30/2020,7900,046c3140,14100,more than downpayment,more than downpayment,0,1200
04dd4e46,8900,1/12/2020,9900,,8900,less than downpayment,,8900,0
052yV8nO,8900,12/20/2018,8900,,8900,equal to downpayment,,8900,0
052yV8nO,3900,1/31/2019,8900,052yV8nO,12800,more than downpayment,equal to downpayment,0,3900
052yV8nO,3900,3/22/2019,8900,052yV8nO,16700,more than downpayment,more than downpayment,0,3900
052yV8nO,7800,6/6/2019,8900,052yV8nO,24500,more than downpayment,more than downpayment,0,7800
052yV8nO,3900,6/24/2019,8900,052yV8nO,28400,more than downpayment,more than downpayment,0,3900
052yV8nO,15600,10/3/2019,8900,052yV8nO,44000,more than downpayment,more than downpayment,0,15600
052yV8nO,20000,11/28/2019,8900,052yV8nO,64000,more than downpayment,more than downpayment,0,20000
05694a45,23500,9/12/2019,23400,,23500,more than downpayment,,23400,100
05694a45,7300,11/7/2019,23400,05694a45,30800,more than downpayment,more than downpayment,0,7300
05694a45,7200,12/7/2019,23400,05694a45,38000,more than downpayment,more than downpayment,0,7200
05694a45,7300,1/8/2020,23400,05694a45,45300,more than downpayment,more than downpayment,0,7300
066e1815,9900,10/15/2019,9900,,9900,equal to downpayment,,9900,0
06923a80,9900,12/21/2019,9900,,9900,equal to downpayment,,9900,0
06ce4cfc,8900,9/19/2019,8900,,8900,equal to downpayment,,8900,0
06ce4cfc,4900,11/5/2019,8900,06ce4cfc,13800,more than downpayment,equal to downpayment,0,4900
06ce4cfc,3900,12/8/2019,8900,06ce4cfc,17700,more than downpayment,more than downpayment,0,3900
06ce4cfc,3900,1/10/2020,8900,06ce4cfc,21600,more than downpayment,more than downpayment,0,3900
06ce4cfc,3900,2/5/2020,8900,06ce4cfc,25500,more than downpayment,more than downpayment,0,3900
076c02ed,9900,12/19/2019,9900,,9900,equal to downpayment,,9900,0
0782ff87,1612,10/14/2019,1594,,1612,more than downpayment,,1594,18
0782ff87,3100,12/15/2019,1594,0782ff87,4712,more than downpayment,more than downpayment,0,3100
0782ff87,3100,1/15/2020,1594,0782ff87,7812,more than downpayment,more than downpayment,0,3100
0782ff87,3100,2/5/2020,1594,0782ff87,10912,more than downpayment,more than downpayment,0,3100
078bc6f4,4999,12/17/2019,4999,,4999,equal to downpayment,,4999,0
078bc6f4,3100,1/24/2020,4999,078bc6f4,8099,more than downpayment,equal to downpayment,0,3100
8280668,5000,9/27/2019,9900,,5000,less than downpayment,,5000,0
8280668,4900,9/30/2019,9900,8280668,9900,equal to downpayment,less than downpayment,4900,0
8280668,3900,11/22/2019,9900,8280668,13800,more than downpayment,equal to downpayment,0,3900
8280668,3900,12/9/2019,9900,8280668,17700,more than downpayment,more than downpayment,0,3900
8280668,3900,1/9/2020,9900,8280668,21600,more than downpayment,more than downpayment,0,3900
8280668,3900,2/9/2020,9900,8280668,25500,more than downpayment,more than downpayment,0,3900
0833d4e0,1594,10/14/2019,1594,,1594,equal to downpayment,,1594,0
08828fe4,8900,10/16/2019,8900,,8900,equal to downpayment,,8900,0
08828fe4,3900,11/27/2019,8900,08828fe4,12800,more than downpayment,equal to downpayment,0,3900
08828fe4,3900,1/7/2020,8900,08828fe4,16700,more than downpayment,more than downpayment,0,3900
08828fe4,3900,2/6/2020,8900,08828fe4,20600,more than downpayment,more than downpayment,0,3900
096ef9d7,8900,12/20/2019,8900,,8900,equal to downpayment,,8900,0
099cbc3f,23500,10/29/2019,23400,,23500,more than downpayment,,23400,100
099cbc3f,7300,12/19/2019,23400,099cbc3f,30800,more than downpayment,more than downpayment,0,7300
099cbc3f,7300,1/28/2020,23400,099cbc3f,38100,more than downpayment,more than downpayment,0,7300
0a1f401a,40000,12/5/2019,40000,,40000,equal to downpayment,,40000,0
0a1f401a,30000,1/10/2020,40000,0a1f401a,70000,more than downpayment,equal to downpayment,0,30000
0a1f401a,30000,2/7/2020,40000,0a1f401a,100000,more than downpayment,more than downpayment,0,30000
0a5711c3,7900,1/24/2020,7900,,7900,equal to downpayment,,7900,0
0aa439f9,1594,10/14/2019,1594,,1594,equal to downpayment,,1594,0
0aa439f9,3100,1/9/2020,1594,0aa439f9,4694,more than downpayment,equal to downpayment,0,3100
0aa439f9,3100,1/30/2020,1594,0aa439f9,7794,more than downpayment,more than downpayment,0,3100
0afb55e2,9900,10/31/2019,9900,,9900,equal to downpayment,,9900,0
0afb55e2,100,11/16/2019,9900,0afb55e2,10000,more than downpayment,equal to downpayment,0,100
0afb55e2,700,12/8/2019,9900,0afb55e2,10700,more than downpayment,more than downpayment,0,700
0afb55e2,2000,12/24/2019,9900,0afb55e2,12700,more than downpayment,more than downpayment,0,2000
0afb55e2,1200,1/16/2020,9900,0afb55e2,13900,more than downpayment,more than downpayment,0,1200
0afb55e2,1500,1/29/2020,9900,0afb55e2,15400,more than downpayment,more than downpayment,0,1500
0b10c3cf,9900,9/19/2019,9900,,9900,equal to downpayment,,9900,0
0b9f78a3,7900,11/15/2019,7900,,7900,equal to downpayment,,7900,0
0b9f78a3,3100,1/9/2020,7900,0b9f78a3,11000,more than downpayment,equal to downpayment,0,3100
0b9f78a3,3100,2/6/2020,7900,0b9f78a3,14100,more than downpayment,more than downpayment,0,3100
0b9fbf82,8900,1/4/2020,8900,,8900,equal to downpayment,,8900,0
0Bi0CuTh,8900,1/11/2019,8900,,8900,equal to downpayment,,8900,0
0Bi0CuTh,3900,2/21/2019,8900,0Bi0CuTh,12800,more than downpayment,equal to downpayment,0,3900
0Bi0CuTh,2000,5/10/2019,8900,0Bi0CuTh,14800,more than downpayment,more than downpayment,0,2000
0Bi0CuTh,1000,11/1/2019,8900,0Bi0CuTh,15800,more than downpayment,more than downpayment,0,1000
0Bi0CuTh,2900,11/4/2019,8900,0Bi0CuTh,18700,more than downpayment,more than downpayment,0,2900
0Bi0CuTh,2000,12/9/2019,8900,0Bi0CuTh,20700,more than downpayment,more than downpayment,0,2000
0BkSNx2w,9000,6/10/2019,8900,,9000,more than downpayment,,8900,100
0BkSNx2w,3900,8/4/2019,8900,0BkSNx2w,12900,more than downpayment,more than downpayment,0,3900
0BkSNx2w,3900,9/6/2019,8900,0BkSNx2w,16800,more than downpayment,more than downpayment,0,3900
0BkSNx2w,3900,10/7/2019,8900,0BkSNx2w,20700,more than downpayment,more than downpayment,0,3900
0BkSNx2w,3900,11/7/2019,8900,0BkSNx2w,24600,more than downpayment,more than downpayment,0,3900
0BkSNx2w,3900,12/12/2019,8900,0BkSNx2w,28500,more than downpayment,more than downpayment,0,3900
0c86510e,8900,10/4/2019,8900,,8900,equal to downpayment,,8900,0
0c86510e,3900,11/2/2019,8900,0c86510e,12800,more than downpayment,equal to downpayment,0,3900
0c86510e,3900,12/4/2019,8900,0c86510e,16700,more than downpayment,more than downpayment,0,3900
0c86510e,3900,1/5/2020,8900,0c86510e,20600,more than downpayment,more than downpayment,0,3900
0c86510e,3900,2/7/2020,8900,0c86510e,24500,more than downpayment,more than downpayment,0,3900
0cc57dda,5000,12/17/2019,8900,,5000,less than downpayment,,5000,0
0cc57dda,3900,12/20/2019,8900,0cc57dda,8900,equal to downpayment,less than downpayment,3900,0
0ccdb635,9900,2/7/2020,9900,,9900,equal to downpayment,,9900,0
0d4176db,7900,11/22/2019,7900,,7900,equal to downpayment,,7900,0
0d4176db,3100,2/4/2020,7900,0d4176db,11000,more than downpayment,equal to downpayment,0,3100
0d519b56,9900,9/16/2019,9900,,9900,equal to downpayment,,9900,0
0d519b56,3900,11/6/2019,9900,0d519b56,13800,more than downpayment,equal to downpayment,0,3900
0d519b56,2000,12/15/2019,9900,0d519b56,15800,more than downpayment,more than downpayment,0,2000
0d519b56,2000,1/9/2020,9900,0d519b56,17800,more than downpayment,more than downpayment,0,2000
0d519b56,1250,1/24/2020,9900,0d519b56,19050,more than downpayment,more than downpayment,0,1250
0d519b56,2550,2/3/2020,9900,0d519b56,21600,more than downpayment,more than downpayment,0,2550
0d519b56,200,2/5/2020,9900,0d519b56,21800,more than downpayment,more than downpayment,0,200
0de74165,9900,1/23/2020,9900,,9900,equal to downpayment,,9900,0
0deb7264,34000,10/3/2019,34000,,34000,equal to downpayment,,34000,0
0deb7264,8500,12/5/2019,34000,0deb7264,42500,more than downpayment,equal to downpayment,0,8500
0deb7264,8500,1/6/2020,34000,0deb7264,51000,more than downpayment,more than downpayment,0,8500
0deb7264,8500,2/4/2020,34000,0deb7264,59500,more than downpayment,more than downpayment,0,8500
0e0ZdO1M,9900,6/29/2019,9900,,9900,equal to downpayment,,9900,0
0e0ZdO1M,3900,8/20/2019,9900,0e0ZdO1M,13800,more than downpayment,equal to downpayment,0,3900
0e0ZdO1M,3900,9/23/2019,9900,0e0ZdO1M,17700,more than downpayment,more than downpayment,0,3900
0e0ZdO1M,3900,10/24/2019,9900,0e0ZdO1M,21600,more than downpayment,more than downpayment,0,3900
0e0ZdO1M,3900,11/29/2019,9900,0e0ZdO1M,25500,more than downpayment,more than downpayment,0,3900
0e0ZdO1M,3900,1/10/2020,9900,0e0ZdO1M,29400,more than downpayment,more than downpayment,0,3900
0e0ZdO1M,3900,1/27/2020,9900,0e0ZdO1M,33300,more than downpayment,more than downpayment,0,3900
0eb618c0,23400,12/19/2019,23400,,23400,equal to downpayment,,23400,0
0f00e0f8,9900,11/20/2019,9900,,9900,equal to downpayment,,9900,0
0f00e0f8,3900,12/31/2019,9900,0f00e0f8,13800,more than downpayment,equal to downpayment,0,3900
0f00e0f8,3900,2/1/2020,9900,0f00e0f8,17700,more than downpayment,more than downpayment,0,3900
0f09WcwK,9900,11/5/2018,9900,,9900,equal to downpayment,,9900,0
0f09WcwK,4500,12/24/2018,9900,0f09WcwK,14400,more than downpayment,equal to downpayment,0,4500
0f09WcwK,4500,1/28/2019,9900,0f09WcwK,18900,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,2/23/2019,9900,0f09WcwK,23400,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,3/28/2019,9900,0f09WcwK,27900,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,4/26/2019,9900,0f09WcwK,32400,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,5/29/2019,9900,0f09WcwK,36900,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,6/26/2019,9900,0f09WcwK,41400,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,7/26/2019,9900,0f09WcwK,45900,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,8/29/2019,9900,0f09WcwK,50400,more than downpayment,more than downpayment,0,4500
0f09WcwK,4500,9/26/2019,9900,0f09WcwK,54900,more than downpayment,more than downpayment,0,4500
0f09WcwK,9000,11/22/2019,9900,0f09WcwK,63900,more than downpayment,more than downpayment,0,9000
0f608a1d,9900,11/19/2019,9900,,9900,equal to downpayment,,9900,0
0f608a1d,4000,1/23/2020,9900,0f608a1d,13900,more than downpayment,equal to downpayment,0,4000
0ffefc6c,2000,11/14/2019,9900,,2000,less than downpayment,,2000,0
0ffefc6c,7900,12/31/2019,9900,0ffefc6c,9900,equal to downpayment,less than downpayment,7900,0
0JvxQp9J,9900,8/7/2019,9900,,9900,equal to downpayment,,9900,0
0JvxQp9J,4000,9/25/2019,9900,0JvxQp9J,13900,more than downpayment,equal to downpayment,0,4000
0JvxQp9J,4000,10/15/2019,9900,0JvxQp9J,17900,more than downpayment,more than downpayment,0,4000
0JvxQp9J,4000,11/15/2019,9900,0JvxQp9J,21900,more than downpayment,more than downpayment,0,4000
0JvxQp9J,4000,12/16/2019,9900,0JvxQp9J,25900,more than downpayment,more than downpayment,0,4000
0JvxQp9J,4000,1/17/2020,9900,0JvxQp9J,29900,more than downpayment,more than downpayment,0,4000
0MdhOtD5,9500,2/21/2019,8900,,9500,more than downpayment,,8900,600
0MdhOtD5,1000,3/6/2019,8900,0MdhOtD5,10500,more than downpayment,more than downpayment,0,1000
0MdhOtD5,3900,3/25/2019,8900,0MdhOtD5,14400,more than downpayment,more than downpayment,0,3900
0MdhOtD5,3900,4/23/2019,8900,0MdhOtD5,18300,more than downpayment,more than downpayment,0,3900
0MdhOtD5,3900,5/25/2019,8900,0MdhOtD5,22200,more than downpayment,more than downpayment,0,3900
0MdhOtD5,1000,6/28/2019,8900,0MdhOtD5,23200,more than downpayment,more than downpayment,0,1000
0MdhOtD5,2400,7/3/2019,8900,0MdhOtD5,25600,more than downpayment,more than downpayment,0,2400
0MdhOtD5,3900,7/22/2019,8900,0MdhOtD5,29500,more than downpayment,more than downpayment,0,3900
0MdhOtD5,3900,8/25/2019,8900,0MdhOtD5,33400,more than downpayment,more than downpayment,0,3900
0MdhOtD5,3900,9/26/2019,8900,0MdhOtD5,37300,more than downpayment,more than downpayment,0,3900
0MdhOtD5,1000,10/25/2019,8900,0MdhOtD5,38300,more than downpayment,more than downpayment,0,1000
0MdhOtD5,2900,10/27/2019,8900,0MdhOtD5,41200,more than downpayment,more than downpayment,0,2900
0MdhOtD5,3900,12/1/2019,8900,0MdhOtD5,45100,more than downpayment,more than downpayment,0,3900
0MdhOtD5,2800,1/7/2020,8900,0MdhOtD5,47900,more than downpayment,more than downpayment,0,2800
0MdhOtD5,3900,1/27/2020,8900,0MdhOtD5,51800,more than downpayment,more than downpayment,0,3900
0MENPd2A,8900,4/8/2019,8900,,8900,equal to downpayment,,8900,0
0MENPd2A,3900,5/16/2019,8900,0MENPd2A,12800,more than downpayment,equal to downpayment,0,3900
0MENPd2A,3900,6/13/2019,8900,0MENPd2A,16700,more than downpayment,more than downpayment,0,3900
0MENPd2A,3900,7/13/2019,8900,0MENPd2A,20600,more than downpayment,more than downpayment,0,3900
0MENPd2A,3900,8/26/2019,8900,0MENPd2A,24500,more than downpayment,more than downpayment,0,3900
0MENPd2A,3900,9/28/2019,8900,0MENPd2A,28400,more than downpayment,more than downpayment,0,3900
0MENPd2A,3900,10/17/2019,8900,0MENPd2A,32300,more than downpayment,more than downpayment,0,3900
0MENPd2A,3900,11/28/2019,8900,0MENPd2A,36200,more than downpayment,more than downpayment,0,3900
0MENPd2A,3900,12/26/2019,8900,0MENPd2A,40100,more than downpayment,more than downpayment,0,3900
0MENPd2A,3900,1/27/2020,8900,0MENPd2A,44000,more than downpayment,more than downpayment,0,3900
0NWOX9pZ,8900,7/23/2019,8900,,8900,equal to downpayment,,8900,0
0NWOX9pZ,3900,9/5/2019,8900,0NWOX9pZ,12800,more than downpayment,equal to downpayment,0,3900
0NWOX9pZ,3900,10/5/2019,8900,0NWOX9pZ,16700,more than downpayment,more than downpayment,0,3900
0NWOX9pZ,5000,12/3/2019,8900,0NWOX9pZ,21700,more than downpayment,more than downpayment,0,5000
0NWOX9pZ,3900,1/2/2020,8900,0NWOX9pZ,25600,more than downpayment,more than downpayment,0,3900
0NWOX9pZ,3900,2/4/2020,8900,0NWOX9pZ,29500,more than downpayment,more than downpayment,0,3900
0PD3IaMG,10000,8/24/2017,10000,,10000,equal to downpayment,,10000,0
0PD3IaMG,5000,9/7/2017,10000,0PD3IaMG,15000,more than downpayment,equal to downpayment,0,5000
0PD3IaMG,20000,9/20/2017,10000,0PD3IaMG,35000,more than downpayment,more than downpayment,0,20000
0PD3IaMG,5000,10/7/2017,10000,0PD3IaMG,40000,more than downpayment,more than downpayment,0,5000
0PD3IaMG,5000,11/1/2017,10000,0PD3IaMG,45000,more than downpayment,more than downpayment,0,5000
0Q2VYZ2h,10000,7/18/2017,10000,,10000,equal to downpayment,,10000,0
0Q2VYZ2h,3000,9/8/2017,10000,0Q2VYZ2h,13000,more than downpayment,equal to downpayment,0,3000
0Q2VYZ2h,5000,10/4/2017,10000,0Q2VYZ2h,18000,more than downpayment,more than downpayment,0,5000
0Q2VYZ2h,5000,10/31/2017,10000,0Q2VYZ2h,23000,more than downpayment,more than downpayment,0,5000
0Q2VYZ2h,7000,11/13/2017,10000,0Q2VYZ2h,30000,more than downpayment,more than downpayment,0,7000
0Q2VYZ2h,5000,12/15/2017,10000,0Q2VYZ2h,35000,more than downpayment,more than downpayment,0,5000
0Q2VYZ2h,5000,1/8/2018,10000,0Q2VYZ2h,40000,more than downpayment,more than downpayment,0,5000
0rnrKWXf,10000,1/7/2019,10000,,10000,equal to downpayment,,10000,0
0rnrKWXf,4500,2/8/2019,10000,0rnrKWXf,14500,more than downpayment,equal to downpayment,0,4500
0rnrKWXf,4500,3/6/2019,10000,0rnrKWXf,19000,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,4/11/2019,10000,0rnrKWXf,23500,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,5/10/2019,10000,0rnrKWXf,28000,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,6/11/2019,10000,0rnrKWXf,32500,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,7/4/2019,10000,0rnrKWXf,37000,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,8/15/2019,10000,0rnrKWXf,41500,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,9/13/2019,10000,0rnrKWXf,46000,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,10/14/2019,10000,0rnrKWXf,50500,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,11/14/2019,10000,0rnrKWXf,55000,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,12/14/2019,10000,0rnrKWXf,59500,more than downpayment,more than downpayment,0,4500
0rnrKWXf,4500,1/14/2020,10000,0rnrKWXf,64000,more than downpayment,more than downpayment,0,4500
0T0vlaoz,9900,7/10/2019,9900,,9900,equal to downpayment,,9900,0
0T0vlaoz,4500,8/19/2019,9900,0T0vlaoz,14400,more than downpayment,equal to downpayment,0,4500
0T0vlaoz,4000,9/20/2019,9900,0T0vlaoz,18400,more than downpayment,more than downpayment,0,4000
0T0vlaoz,4000,10/20/2019,9900,0T0vlaoz,22400,more than downpayment,more than downpayment,0,4000
0T0vlaoz,3100,11/21/2019,9900,0T0vlaoz,25500,more than downpayment,more than downpayment,0,3100
0T0vlaoz,3900,12/13/2019,9900,0T0vlaoz,29400,more than downpayment,more than downpayment,0,3900
0T0vlaoz,3900,1/20/2020,9900,0T0vlaoz,33300,more than downpayment,more than downpayment,0,3900
0uJskTX7,30000,3/5/2019,8900,,30000,more than downpayment,,8900,21100
0uJskTX7,4000,8/26/2019,8900,0uJskTX7,34000,more than downpayment,more than downpayment,0,4000
0uJskTX7,3900,9/25/2019,8900,0uJskTX7,37900,more than downpayment,more than downpayment,0,3900
0uJskTX7,2000,10/25/2019,8900,0uJskTX7,39900,more than downpayment,more than downpayment,0,2000
0uJskTX7,2000,11/4/2019,8900,0uJskTX7,41900,more than downpayment,more than downpayment,0,2000
0uJskTX7,3900,12/1/2019,8900,0uJskTX7,45800,more than downpayment,more than downpayment,0,3900
0uJskTX7,1500,12/28/2019,8900,0uJskTX7,47300,more than downpayment,more than downpayment,0,1500
0uJskTX7,2400,12/29/2019,8900,0uJskTX7,49700,more than downpayment,more than downpayment,0,2400
0uOm7Xgv,12000,5/28/2019,8900,,12000,more than downpayment,,8900,3100
0uOm7Xgv,4100,8/6/2019,8900,0uOm7Xgv,16100,more than downpayment,more than downpayment,0,4100
0uOm7Xgv,4500,10/20/2019,8900,0uOm7Xgv,20600,more than downpayment,more than downpayment,0,4500
0uOm7Xgv,4500,12/12/2019,8900,0uOm7Xgv,25100,more than downpayment,more than downpayment,0,4500
0uOm7Xgv,8000,2/4/2020,8900,0uOm7Xgv,33100,more than downpayment,more than downpayment,0,8000
0vZ9dpt3,8900,11/20/2018,8900,,8900,equal to downpayment,,8900,0
0vZ9dpt3,3900,1/15/2019,8900,0vZ9dpt3,12800,more than downpayment,equal to downpayment,0,3900
0vZ9dpt3,3900,2/15/2019,8900,0vZ9dpt3,16700,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,3/15/2019,8900,0vZ9dpt3,20600,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,4/15/2019,8900,0vZ9dpt3,24500,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,5/13/2019,8900,0vZ9dpt3,28400,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,6/13/2019,8900,0vZ9dpt3,32300,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,7/16/2019,8900,0vZ9dpt3,36200,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,8/14/2019,8900,0vZ9dpt3,40100,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,9/18/2019,8900,0vZ9dpt3,44000,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,10/18/2019,8900,0vZ9dpt3,47900,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,11/16/2019,8900,0vZ9dpt3,51800,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,12/15/2019,8900,0vZ9dpt3,55700,more than downpayment,more than downpayment,0,3900
0vZ9dpt3,3900,1/31/2020,8900,0vZ9dpt3,59600,more than downpayment,more than downpayment,0,3900
0WsnUSSr,8900,2/8/2019,8900,,8900,equal to downpayment,,8900,0
0WsnUSSr,3900,3/16/2019,8900,0WsnUSSr,12800,more than downpayment,equal to downpayment,0,3900
0WsnUSSr,3900,4/16/2019,8900,0WsnUSSr,16700,more than downpayment,more than downpayment,0,3900
0WsnUSSr,3900,5/20/2019,8900,0WsnUSSr,20600,more than downpayment,more than downpayment,0,3900
0WsnUSSr,3900,6/14/2019,8900,0WsnUSSr,24500,more than downpayment,more than downpayment,0,3900
0WsnUSSr,3900,7/12/2019,8900,0WsnUSSr,28400,more than downpayment,more than downpayment,0,3900
0WsnUSSr,3900,8/26/2019,8900,0WsnUSSr,32300,more than downpayment,more than downpayment,0,3900
0WsnUSSr,7800,10/10/2019,8900,0WsnUSSr,40100,more than downpayment,more than downpayment,0,7800
0WsnUSSr,3900,11/4/2019,8900,0WsnUSSr,44000,more than downpayment,more than downpayment,0,3900
0WsnUSSr,3900,12/5/2019,8900,0WsnUSSr,47900,more than downpayment,more than downpayment,0,3900
0WsnUSSr,3900,1/3/2020,8900,0WsnUSSr,51800,more than downpayment,more than downpayment,0,3900
0WsnUSSr,3900,2/5/2020,8900,0WsnUSSr,55700,more than downpayment,more than downpayment,0,3900
0ynBpqi8,9900,9/6/2019,8900,,9900,more than downpayment,,8900,1000
0ynBpqi8,3900,10/7/2019,8900,0ynBpqi8,13800,more than downpayment,more than downpayment,0,3900
0ynBpqi8,3900,11/20/2019,8900,0ynBpqi8,17700,more than downpayment,more than downpayment,0,3900
0ynBpqi8,3900,12/28/2019,8900,0ynBpqi8,21600,more than downpayment,more than downpayment,0,3900
0ynBpqi8,3900,1/11/2020,8900,0ynBpqi8,25500,more than downpayment,more than downpayment,0,3900
0Zq4P4HF,8900,3/27/2019,8900,,8900,equal to downpayment,,8900,0
0Zq4P4HF,3900,4/24/2019,8900,0Zq4P4HF,12800,more than downpayment,equal to downpayment,0,3900
